name,example_value
INST_PARAM_PU_ATT1_R,0
INST_PARAM_PU_ATT1_P,0
INST_PARAM_PU_ATT1_H,0
INST_PARAM_PU_ATT1_DELAY,0
INST_PARAM_PU_ATT1_ROLL,Rotation
INST_PARAM_PU_ATT1_FORMAT,KM Binary
INST_PARAM_PU_ATT1_INPUT,Net port 1
INST_PARAM_PU_ATT2_X,0
INST_PARAM_PU_ATT2_Y,0
INST_PARAM_PU_ATT2_Z,0
INST_PARAM_PU_ATT2_R,0
INST_PARAM_PU_ATT2_P,0
INST_PARAM_PU_ATT2_H,0
INST_PARAM_PU_ATT2_DELAY,0
INST_PARAM_PU_ATT2_ROLL,Rotation
INST_PARAM_PU_ATT2_FORMAT,EM Attitude
INST_PARAM_PU_ATT2_INPUT,No
INST_PARAM_PU_SVP_FORMAT,AML NMEA
INST_PARAM_PU_SVP_INPUT,No
INST_PARAM_PU_ACTIVE_POS,Position system 1
INST_PARAM_PU_ACTIVE_ATT,Attitude system 1
INST_PARAM_PU_WATER_Z,0
RUNT_PARAM_PU_DEP_OFFSET,0
RUNT_PARAM_PU_DEP_SCALE,1
RUNT_PARAM_PU_PORT_STB,0
RUNT_PARAM_PU_ANGLE_PORT_RX1,70
RUNT_PARAM_PU_ANGLE_STARB_RX1,70
RUNT_PARAM_PU_ANGLE_PORT_RX2,70
RUNT_PARAM_PU_ANGLE_STARB_RX2,70
RUNT_PARAM_PU_COVERAGE_PORT,500
RUNT_PARAM_PU_COVERAGE_STARB,500
RUNT_PARAM_PU_MAX_PING_FREQ,50
RUNT_PARAM_PU_MIN_DEPTH,1
RUNT_PARAM_PU_MAX_DEPTH,150
RUNT_PARAM_PU_DETECTOR_MODE,Normal
RUNT_PARAM_PU_FORCE_DEPTH,1
RUNT_PARAM_PU_PULSE_TYPE1,Auto
RUNT_PARAM_PU_PULSE_TYPE2,
RUNT_PARAM_PU_DEPTH_SETTING,
RUNT_PARAM_PU_PING_MODE,300kHz
RUNT_PARAM_PU_SECTOR_MODE,Normal
RUNT_PARAM_PU_SPECIAL_TVG,0
RUNT_PARAM_PU_SPECIAL_AMP_DETECT,0
RUNT_PARAM_PU_MAMMAL,
RUNT_PARAM_PU_SCOPE,0
RUNT_PARAM_PU_SWATHNO,0
RUNT_PARAM_PU_STAVE,0
RUNT_PARAM_PU_MULTI_ON_OFF,0
RUNT_PARAM_PU_MULTI_FREQ_1,None
RUNT_PARAM_PU_MULTI_FREQ_2,None
RUNT_PARAM_PU_MULTI_FREQ_3,None
RUNT_PARAM_PU_MULTI_FREQ_4,None
RUNT_PARAM_PU_MULTI_FREQ_5,None
RUNT_PARAM_PU_MULTI_COV_1,60
RUNT_PARAM_PU_MULTI_COV_2,60
RUNT_PARAM_PU_MULTI_COV_3,60
RUNT_PARAM_PU_MULTI_COV_4,60
RUNT_PARAM_PU_MULTI_COV_5,60
RUNT_PARAM_PU_MULTI_MODE_1,Shallow
RUNT_PARAM_PU_MULTI_MODE_2,Shallow
RUNT_PARAM_PU_MULTI_MODE_3,Shallow
RUNT_PARAM_PU_MULTI_MODE_4,Shallow
RUNT_PARAM_PU_MULTI_MODE_5,Shallow
INST_PARAM_PU_TX1_N,99
INST_PARAM_PU_TX1_TURN,0
INST_PARAM_PU_TX1_X,0
INST_PARAM_PU_TX1_Y,0
INST_PARAM_PU_TX1_Z,0
INST_PARAM_PU_TX1_R,0
INST_PARAM_PU_TX1_P,0
INST_PARAM_PU_TX1_H,0
INST_PARAM_PU_TX1_SIZE,
INST_PARAM_PU_TX2_N,99
INST_PARAM_PU_TX2_TURN,0
INST_PARAM_PU_TX2_X,0
INST_PARAM_PU_TX2_Y,0
INST_PARAM_PU_TX2_Z,0
INST_PARAM_PU_TX2_R,0
INST_PARAM_PU_TX2_P,0
INST_PARAM_PU_TX2_H,0
INST_PARAM_PU_TX2_SIZE,
INST_PARAM_PU_RX1_N,99
INST_PARAM_PU_RX1_TURN,0
INST_PARAM_PU_RX1_X,0
INST_PARAM_PU_RX1_Y,0
INST_PARAM_PU_RX1_Z,0
INST_PARAM_PU_RX1_R,0
INST_PARAM_PU_RX1_P,0
INST_PARAM_PU_RX1_H,0
INST_PARAM_PU_RX1_GAIN,0
INST_PARAM_PU_RX2_N,99
INST_PARAM_PU_RX2_TURN,0
INST_PARAM_PU_RX2_X,0
INST_PARAM_PU_RX2_Y,0
INST_PARAM_PU_RX2_Z,0
INST_PARAM_PU_RX2_R,0
INST_PARAM_PU_RX2_P,0
INST_PARAM_PU_RX2_H,0
INST_PARAM_PU_RX2_GAIN,0
INST_PARAM_PU_DEP_X,0
INST_PARAM_PU_DEP_Y,0
INST_PARAM_PU_DEP_Z,0
INST_PARAM_PU_DEP_DELAY,0
INST_PARAM_PU_DEP_HEAVE,0
INST_PARAM_PU_DEP_FORMAT,Digiquartz
INST_PARAM_PU_DEP_INPUT,No
INST_PARAM_PU_SHIP_NOISE,
